Name,GID,Team,Modified,Members
BAND-IT Monthly Ads - Job P002021,1201652847032862,BAND-IT,2024-02-12T15:44:31.120Z,"[{'gid': '1200170631438159', 'resource_type': 'user'}, {'gid': '1201932329203469', 'resource_type': 'user'}, {'gid': '1201915514702091', 'resource_type': 'user'}, {'gid': '1205138321762305', 'resource_type': 'user'}, {'gid': '1201622170349044', 'resource_type': 'user'}]"
STACK Managed Website Services - Job P002038,1201653104581116,STACK Infrastructure,2024-01-26T15:51:21.619Z,"[{'gid': '1200170631438159', 'resource_type': 'user'}, {'gid': '1151572975745744', 'resource_type': 'user'}, {'gid': '1201932329203469', 'resource_type': 'user'}, {'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201622170349044', 'resource_type': 'user'}, {'gid': '1201371484381708', 'resource_type': 'user'}, {'gid': '1201415151146491', 'resource_type': 'user'}, {'gid': '1202125468462442', 'resource_type': 'user'}, {'gid': '1203247841650174', 'resource_type': 'user'}, {'gid': '1202134229139336', 'resource_type': 'user'}, {'gid': '1201915514702091', 'resource_type': 'user'}, {'gid': '1201415151369986', 'resource_type': 'user'}, {'gid': '1201314726380739', 'resource_type': 'user'}, {'gid': '1205139344486175', 'resource_type': 'user'}, {'gid': '1202942584784352', 'resource_type': 'user'}]"
[DEV - P000877] AGI,1201655242823974,VN Dev Team,2024-01-12T15:24:53.734Z,"[{'gid': '1201479337859149', 'resource_type': 'user'}, {'gid': '1201415151369986', 'resource_type': 'user'}, {'gid': '1201392040267250', 'resource_type': 'user'}, {'gid': '1201419835618228', 'resource_type': 'user'}, {'gid': '1202134229139336', 'resource_type': 'user'}, {'gid': '1201415151146491', 'resource_type': 'user'}, {'gid': '1202942584784352', 'resource_type': 'user'}]"
LandCare Website Design and Development - Job 16326,1201660519895460,LandCare,2024-01-09T23:17:09.850Z,"[{'gid': '1201622170349044', 'resource_type': 'user'}, {'gid': '1201611500801253', 'resource_type': 'user'}, {'gid': '1201347774970467', 'resource_type': 'user'}, {'gid': '1200170631438159', 'resource_type': 'user'}, {'gid': '1201833616151817', 'resource_type': 'user'}, {'gid': '1201347774970465', 'resource_type': 'user'}, {'gid': '1151572975745744', 'resource_type': 'user'}, {'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1201415151369986', 'resource_type': 'user'}, {'gid': '1201932329203469', 'resource_type': 'user'}, {'gid': '1202134229139336', 'resource_type': 'user'}, {'gid': '1201415151146491', 'resource_type': 'user'}, {'gid': '1201419835618228', 'resource_type': 'user'}, {'gid': '1201371484381708', 'resource_type': 'user'}]"
Problem,1201683805920300,Z-DELETE Whisky,2024-01-12T15:24:55.573Z,"[{'gid': '1201419835618228', 'resource_type': 'user'}, {'gid': '1202134229139336', 'resource_type': 'user'}, {'gid': '1201415151146491', 'resource_type': 'user'}]"
Sprint Planning,1201694888334712,Z-DELETE DEV Team,2023-07-25T20:05:53.637Z,[]
Practice Divi on Primeland,1201705403189372,VN Dev Team,2023-07-25T20:10:22.102Z,"[{'gid': '1201371484381708', 'resource_type': 'user'}]"
Asana Onboarding Plan,1201737869419218,Z-DELETE Gravity US Leadership,2023-07-25T20:07:25.067Z,[]
New Employee Onboarding,1201737950262716,Z-DELETE Gravity US Leadership,2023-08-16T20:28:42.227Z,[]
KB: DP - Issue Log & Lesson Learned Register,1201776821466614,VN Dev Team,2023-08-01T01:42:41.597Z,"[{'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1201392040379430', 'resource_type': 'user'}, {'gid': '1201392040267250', 'resource_type': 'user'}, {'gid': '1201415151369986', 'resource_type': 'user'}, {'gid': '1202536515246475', 'resource_type': 'user'}, {'gid': '1202134229139336', 'resource_type': 'user'}, {'gid': '1202942584784352', 'resource_type': 'user'}]"
Campaign Management ,1201793913575451,Z-DELETE Gravity Global Media Team,2023-07-25T20:07:18.167Z,[]
Design Team Task Calendar,1201781632380099,Z-DELETE Design Team,2024-02-15T23:55:22.139Z,"[{'gid': '1201611500801253', 'resource_type': 'user'}, {'gid': '1200170631438159', 'resource_type': 'user'}, {'gid': '1201622170349044', 'resource_type': 'user'}, {'gid': '1201347774970467', 'resource_type': 'user'}, {'gid': '1201314726380739', 'resource_type': 'user'}, {'gid': '1201347774970465', 'resource_type': 'user'}, {'gid': '1201833616151817', 'resource_type': 'user'}, {'gid': '1201915514702091', 'resource_type': 'user'}, {'gid': '1203247841650174', 'resource_type': 'user'}, {'gid': '1205138321762305', 'resource_type': 'user'}, {'gid': '1205366876192921', 'resource_type': 'user'}, {'gid': '1205808945801049', 'resource_type': 'user'}, {'gid': '1205720756575634', 'resource_type': 'user'}]"
Stronghold Misc Creative Deliverables - P001119 ,1201803623313289,Stronghold Companies,2024-01-23T17:33:59.531Z,"[{'gid': '1200170631438159', 'resource_type': 'user'}, {'gid': '1201415151146491', 'resource_type': 'user'}, {'gid': '1201419835618228', 'resource_type': 'user'}, {'gid': '1202134229139336', 'resource_type': 'user'}, {'gid': '1201415151369986', 'resource_type': 'user'}, {'gid': '1201622170349044', 'resource_type': 'user'}, {'gid': '1201932329203469', 'resource_type': 'user'}, {'gid': '1201611500801253', 'resource_type': 'user'}, {'gid': '1203247841650174', 'resource_type': 'user'}, {'gid': '1151572975745744', 'resource_type': 'user'}, {'gid': '1205138321762305', 'resource_type': 'user'}]"
Template - Sitecore Project,1201798304329051,VN Dev Team,2023-07-25T20:10:22.224Z,"[{'gid': '1201371484381708', 'resource_type': 'user'}, {'gid': '1201479337859149', 'resource_type': 'user'}, {'gid': '1201413415538603', 'resource_type': 'user'}, {'gid': '1201413415538593', 'resource_type': 'user'}]"
IT Requests,1201804335573457,VN Dev Team,2024-01-23T09:23:31.322Z,"[{'gid': '1201415151369986', 'resource_type': 'user'}, {'gid': '1202942584784352', 'resource_type': 'user'}]"
